date,temp_c,dewpoint_c,abs_humidity_g_m3
2022-04-30,8.5,3.8,6.169508480474404
2022-05-01,8.5,4.0,6.25686056822134
2022-05-02,10.9,4.9,6.607335579954948
2022-05-03,10.2,6.7,7.502696849366831
2022-05-04,9.9,4.8,6.584584202656254
2022-05-05,12.6,9.0,8.70130000108577
2022-05-06,13.8,9.4,8.901621081001583
2022-05-07,14.1,10.1,9.319875505292087
2022-05-08,12.1,6.6,7.401653721138032
2022-05-09,13.9,7.2,7.664402929518398
2022-05-10,16.4,9.0,8.587105768641889
2022-05-11,15.6,9.3,8.786796624734754
2022-05-12,13.9,7.9,8.039557735261488
2022-05-13,13.9,8.4,8.317363908747815
2022-05-14,14.9,9.7,9.048193855794937
2022-05-15,17.2,8.6,8.335016350516714
2022-05-16,18.0,11.6,10.159670698872239
2022-05-17,17.9,13.3,11.363707856403714
2022-05-18,18.6,13.3,11.336442747579436
2022-05-19,17.6,14.5,12.297371795163249
2022-05-20,13.4,10.9,9.854637765979351
2022-05-21,14.0,10.0,9.26093164505611
2022-05-22,14.7,9.5,8.933662748492837
2022-05-23,15.4,12.5,10.87745771257026
2022-05-24,13.2,9.4,8.920272984785766
2022-05-25,13.2,8.9,8.62464363640926
2022-05-26,15.2,11.7,10.326348542052115
2022-05-27,14.2,8.6,8.422035835644781
2022-05-28,12.3,6.2,7.195411771891298
2022-05-29,10.6,6.1,7.1887214598046425
2022-05-30,10.7,5.5,6.893805367991766
2022-05-31,11.8,7.0,7.615812585693333
2022-06-01,12.2,8.1,8.198233572087991
2022-06-02,13.2,7.7,7.950137849403178
2022-06-03,16.3,9.7,9.004429919370292
2022-06-04,16.1,10.7,9.633600909504159
2022-06-05,16.0,13.5,11.588497800739633
2022-06-06,13.8,11.5,10.240416870508605
2022-06-07,15.1,11.4,10.126974936546269
2022-06-08,15.1,13.1,11.325225157420011
2022-06-09,15.5,11.3,10.046167580114641
2022-06-10,17.2,13.1,11.243313764857305
2022-06-11,16.9,11.7,10.265825209793922
2022-06-12,15.7,10.8,9.711365790144583
2022-06-13,14.3,9.4,8.886137308030628
2022-06-14,14.7,8.6,8.407406626272461
2022-06-15,17.2,10.8,9.661195138568152
2022-06-16,18.1,10.7,9.567447426863787
2022-06-17,22.0,12.4,10.564605886119876
2022-06-18,20.9,15.2,12.720623273486172
2022-06-19,14.6,10.1,9.303681108236844
2022-06-20,14.9,9.4,8.867627735439696
2022-06-21,15.2,10.2,9.346619230852623
2022-06-22,17.9,10.8,9.63795914270147
2022-06-23,21.4,14.5,12.138722965349569
2022-06-24,19.9,15.3,12.846323207154036
2022-06-25,18.4,14.5,12.263628363723942
2022-06-26,17.5,12.5,10.798866069025111
2022-06-27,16.4,12.6,10.911264403830847
2022-06-28,17.5,11.3,9.977038610012356
2022-06-29,20.2,13.0,11.055821044221927
2022-06-30,17.3,13.1,11.239442766831877
2022-07-01,15.7,11.2,9.972872762820696
2022-07-02,17.4,10.5,9.46352597066279
2022-07-03,16.6,11.8,10.344544004732864
2022-07-04,17.0,11.6,10.19468593478081
2022-07-05,16.2,11.2,9.95563952839384
2022-07-06,16.3,10.6,9.563030113036303
2022-07-07,17.0,12.0,10.467467168744362
2022-07-08,17.2,12.3,10.668899715182407
2022-07-09,17.5,12.9,11.085760276621832
2022-07-10,17.1,11.5,10.123988358285768
2022-07-11,19.1,14.7,12.393319599492974
2022-07-12,20.8,14.3,12.007143900192842
2022-07-13,21.4,14.2,11.905330573281665
2022-07-14,17.2,11.5,10.120501536051126
2022-07-15,17.0,9.9,9.10399438363841
2022-07-16,17.6,10.5,9.457016236547114
2022-07-17,18.2,10.5,9.437540658232619
2022-07-18,23.5,10.8,9.4560189060619
2022-07-19,28.1,13.6,11.19570167935392
2022-07-20,23.9,14.7,12.19305723935978
2022-07-21,18.5,15.6,13.158871605925873
2022-07-22,17.0,12.5,10.817475178225568
2022-07-23,18.1,12.5,10.776619477981624
2022-07-24,22.3,14.3,11.946183616387497
2022-07-25,20.6,14.7,12.330034563240245
2022-07-26,17.3,12.5,10.806302024314506
2022-07-27,16.1,9.9,9.132321418885684
2022-07-28,16.9,8.7,8.400292959708795
2022-07-29,18.7,11.3,9.936016008223714
2022-07-30,19.1,12.8,10.953118611037198
2022-07-31,19.8,16.6,13.964156707318416
2022-08-01,19.4,13.8,11.679593941880306
2022-08-02,21.0,13.5,11.391515006234455
2022-08-03,22.6,15.7,13.059852234139887
2022-08-04,21.7,15.5,12.932871524189693
2022-08-05,17.9,11.6,10.163161394869103
2022-08-06,16.3,8.9,8.5322739861316
2022-08-07,16.4,10.2,9.307883457835793
2022-08-08,17.7,12.5,10.7914403402515
2022-08-09,19.4,13.7,11.603903427873977
2022-08-10,21.6,13.0,11.003308238583552
2022-08-11,23.6,11.7,10.034044151982231
2022-08-12,24.4,12.1,10.274615026204268
2022-08-13,24.5,9.5,8.639525691764364
2022-08-14,24.6,12.6,10.610769464749692
2022-08-15,23.4,14.8,12.292665219808038
2022-08-16,21.2,16.1,13.461922477566025
2022-08-17,19.3,17.0,14.34788934428648
2022-08-18,19.9,16.3,13.695270901007314
2022-08-19,19.7,16.4,13.792231571452204
2022-08-20,18.5,13.7,11.639711804644374
2022-08-21,17.8,13.4,11.441994696562348
2022-08-22,19.5,13.5,11.44990308930075
2022-08-23,21.0,15.5,12.963648372963899
2022-08-24,22.7,17.6,14.731665124977816
2022-08-25,23.4,16.8,13.971088376045017
2022-08-26,19.3,14.9,12.545616319910554
2022-08-27,17.7,11.9,10.373648843459629
2022-08-28,17.1,11.4,10.057193886165244
2022-08-29,16.8,11.4,10.067599673941928
2022-08-30,18.4,12.2,10.55532379206654
2022-08-31,18.3,10.3,9.309203317232825
2022-09-01,18.6,9.3,8.69644396021306
2022-09-02,20.0,8.4,8.14429237593744
2022-09-03,20.4,10.0,9.059024090880131
2022-09-04,20.8,13.7,11.548637345890565
2022-09-05,21.6,12.8,10.860216841647569
2022-09-06,20.8,16.0,13.394417884003184
2022-09-07,18.7,14.2,12.015470688230646
2022-09-08,17.9,13.5,11.51284706780232
2022-09-09,15.8,13.4,11.521191752776657
2022-09-10,16.6,14.1,12.024365351690856
2022-09-11,16.8,13.5,11.556524018223366
2022-09-12,17.8,13.4,11.441994696562348
2022-09-13,18.9,14.9,12.562799153425242
2022-09-14,15.5,12.5,10.87368932257803
2022-09-15,15.3,10.4,9.469037031914482
2022-09-16,12.8,8.9,8.636708184248265
2022-09-17,12.8,7.3,7.746717241315292
2022-09-18,12.2,9.4,8.951533797769072
2022-09-19,13.0,7.6,7.901610712636671
2022-09-20,12.8,8.8,8.578550004336988
2022-09-21,12.2,7.9,8.087454171742806
2022-09-22,11.8,7.3,7.77390347483456
2022-09-23,13.5,9.9,9.215154266222518
2022-09-24,13.6,11.5,10.24755927111576
2022-09-25,12.1,8.5,8.426772808075478
2022-09-26,12.0,8.9,8.660938822675055
2022-09-27,9.8,7.1,7.722392715265443
2022-09-28,9.8,6.8,7.565101008907755
2022-09-29,9.9,7.6,7.988150169302186
2022-09-30,11.2,7.5,7.8975306484277965
2022-10-01,14.1,10.2,9.382411332345878
2022-10-02,14.2,10.6,9.632918274641929
2022-10-03,13.1,9.7,9.105090795324825
2022-10-04,13.5,10.6,9.656441884592216
2022-10-05,15.7,11.8,10.376775576843857
2022-10-06,13.8,8.0,8.097274878233781
2022-10-07,13.6,9.4,8.90782970948005
2022-10-08,12.8,8.2,8.23680471848052
2022-10-09,10.8,7.1,7.695196403537091
2022-10-10,11.3,8.3,8.336644744721768
2022-10-11,10.7,6.6,7.438160028024042
2022-10-12,9.3,6.4,7.372813840242131
2022-10-13,12.6,11.2,10.081064908279117
2022-10-14,12.6,10.9,9.88222730303196
2022-10-15,13.7,11.4,10.176400646538129
2022-10-16,14.5,10.4,9.495371916759021
2022-10-17,15.5,14.1,12.070188327221292
2022-10-18,13.3,10.8,9.792731745446893
2022-10-19,10.4,7.9,8.138794032469793
2022-10-20,13.1,11.7,10.402105160177213
2022-10-21,15.4,13.5,11.612594486514867
2022-10-22,14.9,11.9,10.474486256275762
2022-10-23,15.1,12.9,11.178061489679568
2022-10-24,15.1,10.9,9.796518479935411
2022-10-25,13.7,11.3,10.109207850793416
2022-10-26,15.0,12.1,10.60979247283387
2022-10-27,16.2,13.2,11.356108424097005
2022-10-28,16.5,13.9,11.873418024672944
2022-10-29,16.0,13.8,11.81692964792351
2022-10-30,15.1,12.8,11.105113318562431
2022-10-31,12.9,11.5,10.272636325790751
2022-11-01,14.3,9.7,9.067080327576035
2022-11-02,12.4,7.3,7.757568885148339
2022-11-03,12.8,9.2,8.813276350087042
2022-11-04,9.4,7.5,7.947842292976266
2022-11-05,9.0,6.6,7.48297616145534
2022-11-06,10.3,8.1,8.253187333904775
2022-11-07,12.1,9.9,9.260382017222382
2022-11-08,13.2,9.1,8.741841081391753
2022-11-09,12.3,8.3,8.307439473239121
2022-11-10,11.8,9.3,8.903974470581366
2022-11-11,10.4,8.4,8.420029307021903
2022-11-12,8.6,7.4,7.916139471063672
2022-11-13,7.8,6.2,7.310661293064143
2022-11-14,5.6,4.3,6.456419541901293
2022-11-15,9.8,8.2,8.324136099132373
2022-11-16,10.0,8.4,8.431924103853294
2022-11-17,10.2,7.9,8.14453872562841
2022-11-18,8.4,6.9,7.655090474163498
2022-11-19,3.1,0.4,4.935434913471894
